FighterGrade,BodyKicksAbsorbed,ClinchStrikeHiMake,ClinchStrikeHiMiss,ClinchStrikeLoMake,ClinchStrikeLoMiss,DoubleLegDefends,DoubleLegTakedownAttempts,DoubleLegTakedownFail,DoubleLegTakedownSuccess,GroundStrikeHiMake,GroundStrikeHiMiss,GroundStrikeLoMake,GroundStrikeLoMiss,HeadKicksAbsorbed,HooksAbsorbed,JabsAbsorbed,LeftBodyKickMake,LeftBodyKickMiss,LeftHighKickMake,LeftHighKickMiss,LeftHookHiMake,LeftHookHiMiss,LeftHookLoMake,LeftHookLoMiss,LeftJabHiMake,LeftJabHiMiss,LeftJabLoMake,LeftJabLoMiss,LeftLegKickMake,LeftLegKickMiss,LeftOverhandMake,LeftOverhandMiss,LeftStraightHiMake,LeftStraightHiMiss,LeftStraightLoMake,LeftStraightLoMiss,LeftUppercutHiMake,LeftUppercutHiMiss,LeftUppercutLoMake,LeftUppercutLoMiss,LegKicksAbsorbed,NumberOfKnockDowns,NumberOfStuns,OverhandsAbsorbed,RightBodyKickMake,RightBodyKickMiss,RightHighKickMake,RightHighKickMiss,RightHookHiMake,RightHookHiMiss,RightHookLoMake,RightHookLoMiss,RightJabHiMake,RightJabHiMiss,RightJabLoMake,RightJabLoMiss,RightLegKickMake,RightLegKickMiss,RightOverhandMake,RightOverhandMiss,RightStraightHiMake,RightStraightHiMiss,RightStraightLoMake,RightStraightLoMiss,RightUppercutHiMake,RightUppercutHiMiss,RightUppercutLoMake,RightUppercutLoMiss,SingleLegDefends,SingleLegTakedownAttempts,SingleLegTakedownFail,SingleLegTakedownSuccess,StraightsAbsorbed,SubAttempts,TimesDoubleLegged,TimesKnockedDown,TimesSingleLegged,TimesStunned,TotalBodyKicksMade,TotalBodyKicksMissed,TotalBodyKicksThrown,TotalClinchStrikesMade,TotalClinchStrikesMissed,TotalClinchStrikesThrown,TotalElbowsMade,TotalElbowsMissed,TotalElbowsThrown,TotalGroundStrikesMade,TotalGroundStrikesMissed,TotalGroundStrikesThrown,TotalHighKicksMade,TotalHighKicksMissed,TotalHighKicksThrown,TotalHooksMade,TotalHooksMissed,TotalHooksThrown,TotalJabsMade,TotalJabsMissed,TotalJabsThrown,TotalKicksLanded,TotalKicksThrown,TotalLegKicksMade,TotalLegKicksMissed,TotalLegKicksThrown,TotalOverhandsMade,TotalOverhandsMissed,TotalOverhandsThrown,TotalPunchesLanded,TotalPunchesThrown,TotalSpinBackFistsMade,TotalStraightsMade,TotalStraightsMissed,TotalStraightsThrown,TotalStrikesLanded,TotalUppercutsMade,TotalUppercutsMissed,TotalUppercutsThrown,UppercutsAbsorbed
73,0.02739726,0.02739726,0.01369863,0,0,0.04109589,0,0,0,0.136986301,0.082191781,0,0,0,0.04109589,0.095890411,0,0,0,0,0.01369863,0.191780822,0,0,0.082191781,0.246575342,0.01369863,0.01369863,0.01369863,0.01369863,0,0.01369863,0.01369863,0.04109589,0,0,0,0,0,0,0.04109589,0,0,0.068493151,0,0,0,0.02739726,0.01369863,0.068493151,0,0.01369863,0.02739726,0.01369863,0,0,0.01369863,0,0,0,0,0.01369863,0,0,0,0,0,0,0,0,0,0,0.04109589,0,0.054794521,0,0.04109589,0,0,0,0,0.02739726,0.01369863,0.04109589,0,0,0,0.136986301,0.082191781,0.219178082,0,0.02739726,0.02739726,0.02739726,0.273972603,0.301369863,0.123287671,0.273972603,0.397260274,0.02739726,0.068493151,0.02739726,0.01369863,0.04109589,0,0.01369863,0.01369863,0.328767123,1.04109589,0,0.01369863,0.054794521,0.068493151,0.369863014,0,0,0,0
86,0.12,0.16,0,0.2,0.04,0,0.04,0.04,0,0.8,0.28,0.08,0,0,0.92,0.36,0.08,0.08,0,0.04,0.56,0.44,0,0.08,0.96,1.52,0.12,0,0.04,0,0,0,0.28,0.24,0,0,0,0,0,0,0.04,0.12,0.4,0,0.32,0.16,0,0,0.2,0.24,0.12,0,0.04,0.24,0.04,0.12,0.2,0,0,0,0.4,0.24,0,0,0.88,0.36,0,0,0.16,0.08,0.08,0,0.12,0,0,0,0,0,0.4,0.24,0.64,0.36,0.04,0.4,0.12,0.04,0.16,0.88,0.28,1.16,0,0.04,0.04,0.88,0.76,1.64,1.16,1.88,3.04,0.64,0.92,0.24,0,0.24,0,0,0,4.84,8.64,0.04,0.68,0.48,1.16,5.96,0.88,0.36,1.24,0
81,0.095890411,0.04109589,0.01369863,0,0,0.01369863,0.164383562,0.054794521,0.109589041,3.356164384,0.520547945,1.575342466,0.095890411,0.01369863,0.287671233,0.246575342,0.123287671,0.123287671,0.01369863,0.054794521,0.095890411,0.164383562,0.01369863,0,0.150684932,0.191780822,0,0,0.068493151,0.01369863,0.02739726,0.04109589,0.178082192,0.068493151,0,0.01369863,0,0.01369863,0.01369863,0,0.232876712,0.02739726,0.02739726,0.082191781,0.136986301,0.109589041,0,0.150684932,0.082191781,0.191780822,0.01369863,0,0.178082192,0.328767123,0.01369863,0,0.02739726,0.01369863,0.095890411,0.02739726,0.02739726,0.02739726,0.01369863,0,0.02739726,0.01369863,0,0,0.01369863,0.205479452,0.123287671,0.082191781,0.219178082,0.150684932,0.02739726,0.02739726,0.04109589,0,0.260273973,0.232876712,0.493150685,0.04109589,0.01369863,0.054794521,0.424657534,0,0.424657534,4.931506849,0.616438356,5.547945205,0.01369863,0.205479452,0.219178082,0.205479452,0.356164384,0.561643836,0.342465753,0.520547945,0.863013699,0.369863014,0.835616438,0.095890411,0.02739726,0.123287671,0.123287671,0.068493151,0.191780822,5.876712329,7.520547945,0,0.219178082,0.109589041,0.328767123,6.794520548,0.04109589,0.02739726,0.068493151,0.054794521
78,0.176470588,0,0,0,0,0,0,0,0,0.176470588,0,0.411764706,0,0,0.647058824,0.352941176,0,0.058823529,0,0,0.176470588,0.176470588,0,0.058823529,0.352941176,0.882352941,0.058823529,0.058823529,0,0,0,0,0,0.058823529,0,0,0,0.058823529,0.058823529,0,0.529411765,0.058823529,0,0.117647059,0.058823529,0.117647059,0.058823529,0.058823529,0,0.352941176,0.235294118,0,0,0.117647059,0,0,0.764705882,0.176470588,0,0.176470588,0.176470588,0.352941176,0,0,0,0,0,0,0,0,0,0,0.352941176,0,0.117647059,0.058823529,0,0.058823529,0.058823529,0.176470588,0.235294118,0,0,0,0.058823529,0,0.058823529,0.588235294,0,0.588235294,0.058823529,0.058823529,0.117647059,0.411764706,0.588235294,1,0.411764706,1.058823529,1.470588235,0.882352941,1.294117647,0.764705882,0.176470588,0.941176471,0,0.176470588,0.176470588,1.647058824,3.941176471,0,0.176470588,0.411764706,0.588235294,2.764705882,0.058823529,0.058823529,0.117647059,0.058823529
86,0.325581395,0.325581395,0.069767442,0.023255814,0,0,0.093023256,0.023255814,0.069767442,0.76744186,0.325581395,0.093023256,0.023255814,0.11627907,0.348837209,0.325581395,0,0,0,0,0.465116279,0.348837209,0.255813953,0.139534884,0.302325581,0.674418605,0.11627907,0.23255814,0.046511628,0.023255814,0,0,0,0,0,0,0,0.023255814,0,0,0.162790698,0.069767442,0.023255814,0.046511628,0,0.023255814,0,0,0.255813953,0.441860465,0.093023256,0.023255814,0,0,0,0.023255814,0.11627907,0,0.209302326,0.325581395,0.069767442,0.209302326,0,0,0.069767442,0.139534884,0,0,0.23255814,0.11627907,0.069767442,0.046511628,0.23255814,0.139534884,0,0.023255814,0.023255814,0,0,0.023255814,0.023255814,0.348837209,0.069767442,0.418604651,0,0,0,0.860465116,0.348837209,1.209302326,0,0,0,1.069767442,0.953488372,2.023255814,0.418604651,0.930232558,1.348837209,0.162790698,0.209302326,0.162790698,0.023255814,0.186046512,0.209302326,0.325581395,0.534883721,2.837209302,5.744186047,0,0.069767442,0.209302326,0.279069767,3.279069767,0.069767442,0.162790698,0.23255814,0.023255814
83,0.283950617,0.074074074,0.067901235,0.018518519,0,0.030864198,0.049382716,0.024691358,0.024691358,1.987654321,1.191358025,0.413580247,0.154320988,0.018518519,0.611111111,0.617283951,0.012345679,0,0,0.00617284,0.283950617,0.62962963,0.043209877,0.00617284,0.24691358,0.697530864,0.00617284,0,0,0,0,0.00617284,0,0.00617284,0,0,0,0.024691358,0.012345679,0,0.154320988,0.024691358,0.055555556,0.012345679,0.043209877,0.018518519,0.00617284,0.055555556,0.216049383,0.401234568,0.043209877,0.018518519,0,0,0,0,0.055555556,0.00617284,0.067901235,0.12345679,0.191358025,0.345679012,0.037037037,0.049382716,0.080246914,0.074074074,0,0,0.061728395,0.24691358,0.191358025,0.055555556,0.351851852,0.092592593,0.030864198,0.043209877,0.024691358,0.092592593,0.055555556,0.018518519,0.074074074,0.092592593,0.067901235,0.160493827,0,0,0,2.401234568,1.345679012,3.74691358,0.00617284,0.061728395,0.067901235,0.586419753,1.055555556,1.641975309,0.24691358,0.697530864,0.944444444,0.117283951,0.203703704,0.055555556,0.00617284,0.061728395,0.067901235,0.12962963,0.197530864,2.209876543,5.00617284,0,0.228395062,0.401234568,0.62962963,3.907407407,0.092592593,0.098765432,0.191358025,0.228395062
73,0.045454545,0.136363636,0,0.090909091,0.045454545,0.045454545,0,0,0,0.909090909,0.5,0.227272727,0,0.227272727,0.954545455,0.090909091,0,0,0,0.045454545,0.318181818,0.590909091,0,0,0.136363636,1.772727273,0,0,0.090909091,0.090909091,0,0.136363636,0,0.045454545,0,0,0,0,0,0,0.136363636,0,0.045454545,0.090909091,0.318181818,0.318181818,0.045454545,0.136363636,0.181818182,0.954545455,0,0.045454545,0.045454545,0.090909091,0,0,0.136363636,0.090909091,0,0.272727273,0.272727273,0.636363636,0.045454545,0.045454545,0,0,0,0,0.318181818,0.045454545,0,0.045454545,0.5,0.045454545,0,0.045454545,0,0.090909091,0.318181818,0.318181818,0.636363636,0.227272727,0.045454545,0.272727273,0.090909091,0.045454545,0.136363636,1.136363636,0.5,1.636363636,0.045454545,0.181818182,0.227272727,0.5,1.590909091,2.090909091,0.181818182,1.863636364,2.045454545,0.590909091,1.272727273,0.227272727,0.181818182,0.409090909,0,0.409090909,0.409090909,1.272727273,5.954545455,0.045454545,0.318181818,0.727272727,1.045454545,3.636363636,0,0,0,0.045454545
79,0.066666667,0,0,0,0,0,0.266666667,0.133333333,0.133333333,2.266666667,1.066666667,0.2,0,0.066666667,0.8,0.466666667,0,0,0,0,0,0.2,0,0,0.4,2.333333333,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0.533333333,0,0,0,0.2,0.066666667,0.066666667,0.2,0.266666667,0.4,0,0,0.066666667,0,0,0,0.066666667,0.066666667,0,0.2,0,0.133333333,0.066666667,0,0,0,0,0,0,0.333333333,0.2,0.133333333,0.2,0.133333333,0,0,0,0,0.2,0.066666667,0.266666667,0,0,0,0.2,0,0.2,2.466666667,1.066666667,3.533333333,0.066666667,0.2,0.266666667,0.266666667,0.6,0.866666667,0.466666667,2.333333333,2.8,0.333333333,0.733333333,0.066666667,0.133333333,0.2,0,0.2,0.2,3.266666667,7.6,0,0.066666667,0.133333333,0.2,4.4,0,0,0,0.2
86,0.48,0.72,0,0.04,0,0.04,0,0,0,0.8,0.16,0.24,0.08,0.08,0.92,1.28,0.2,0.12,0.24,0.36,0.12,0.16,0,0,0.92,1.2,0.16,0,0.48,0.32,0.04,0,0.28,0.36,0.16,0.04,0.04,0,0,0,0.32,0,0,0.04,0.04,0,0,0.04,0.12,0.28,0,0,0,0.12,0,0,0.36,0.2,0,0.08,0.2,0.16,0.04,0,0,0,0.04,0,0,0,0,0,0.68,0,0.08,0,0,0,0.24,0.12,0.36,0.76,0,0.76,0.04,0,0.04,1.04,0.24,1.28,0.24,0.4,0.64,0.24,0.44,0.68,1.08,1.32,2.4,1.32,2.36,0.84,0.52,1.36,0.04,0.08,0.12,3.92,6.56,0,0.68,0.56,1.24,5.32,0.08,0,0.08,0.12
78,0.533333333,0,0,0.066666667,0,0,0,0,0,0.133333333,0.133333333,0.066666667,0.133333333,0.333333333,1,0.6,0.4,0.733333333,0.066666667,0.466666667,0.2,0.666666667,0,0.066666667,0.666666667,1.133333333,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0.533333333,0.066666667,0,0.066666667,0.466666667,0.2,0,0,0.666666667,0.866666667,0,0,0,0,0,0,0.333333333,0,0.133333333,0.2,0.066666667,0.133333333,0,0,0,0,0,0,0.133333333,0,0,0,1.666666667,0,0,0,0,0.066666667,0.866666667,0.933333333,1.8,0.066666667,0,0.066666667,0,0,0,0.2,0.266666667,0.466666667,0.066666667,0.466666667,0.533333333,0.866666667,1.6,2.466666667,0.666666667,1.133333333,1.8,1.333333333,2.733333333,0.4,0,0.4,0.133333333,0.2,0.333333333,2,5.333333333,0,0.066666667,0.133333333,0.2,3.933333333,0,0,0,0
