AttemptedThrowTD,BodyKicksAbsorbed,BodyLockDefends,BodyLockTakedownAttempts,BodyLockTakedownFail,BodyLockTakedownSuccess,BulldogAttempt,BulldogLoss,BulldogWin,CalfSlicerAttempts,CalfSlicerLosses,CalfSlicerWins,ClinchStrikeHiMake,ClinchStrikeHiMiss,ClinchStrikeLoMake,ClinchStrikeLoMiss,CrossesAbsorbed,DoubleLegDefends,DoubleLegTakedownAttempts,DoubleLegTakedownFail,DoubleLegTakedownSuccess,EzekielAttempt,EzekielLoss,EzekielWin,FailedThrowTD,FighterGrade,FighterMomentum,FightsTracked,GogoplataAttempts,GogoplataLosses,GogoplataWins,GroundStrikeHiMake,GroundStrikeHiMiss,GroundStrikeLoMake,GroundStrikeLoMiss,HeadKicksAbsorbed,HooksAbsorbed,JabsAbsorbed,KneebarAttempt,KneebarLoss,KneebarWin,LeftBodyKickMake,LeftBodyKickMiss,LeftElbowMake,LeftElbowMiss,LeftHighKickMake,LeftHighKickMiss,LeftHookHiMake,LeftHookHiMiss,LeftHookLoMake,LeftHookLoMiss,LeftJabHiMake,LeftJabHiMiss,LeftJabLoMake,LeftJabLoMiss,LeftLegKickMake,LeftLegKickMiss,LeftOverhandMake,LeftOverhandMiss,LeftSpinBackFistMake,LeftSpinBackFistMiss,LeftStraightHiMake,LeftStraightHiMiss,LeftStraightLoMake,LeftStraightLoMiss,LeftUppercutHiMake,LeftUppercutHiMiss,LeftUppercutLoMake,LeftUppercutLoMiss,LegKicksAbsorbed,LeglockAttempt,LeglockLoss,LeglockWin,LossesInThe4thRd,LossesInThe5thRd,LossesInTitleFights,MinutesTracked,NeckCrankAttempt,NumberOfKnockDowns,NumberOfStuns,OmoplataAttempt,OmoplataAttempts,OmoplataLoss,OmoplataLosses,OmoplataWin,OmoplataWins,OtherSubAttempt,OtherSubLoss,OtherSubWin,OverhandsAbsorbed,RightBodyKickMake,RightBodyKickMiss,RightElbowMake,RightElbowMiss,RightHighKickMake,RightHighKickMiss,RightHookHiMake,RightHookHiMiss,RightHookLoMake,RightHookLoMiss,RightJabHiMake,RightJabHiMiss,RightJabLoMake,RightJabLoMiss,RightLegKickMake,RightLegKickMiss,RightOverhandMake,RightOverhandMiss,RightSpinBackFistMake,RightSpinBackFistMiss,RightStraightHiMake,RightStraightHiMiss,RightStraightLoMake,RightStraightLoMiss,RightUppercutHiMake,RightUppercutHiMiss,RightUppercutLoMake,RightUppercutLoMiss,RoundsTracked,SUBRNCAttempt,SUBRNCLoss,SUBRNCWin,SingleLegDefends,SingleLegTakedownAttempts,SingleLegTakedownFail,SingleLegTakedownSuccess,StraightsAbsorbed,SubArmTriangleAttempt,SubArmTriangleLoss,SubArmTriangleWin,SubAttempts,SubDarceAttempt,SubDarceLoss,SubDarceWin,SubGuillotineAttempt,SubGuillotineLoss,SubGuillotineWin,SubHeelHookAttempt,SubHeelHookLoss,SubHeelHookWin,SubKimuraAttempt,SubKimuraLoss,SubKimuraWin,SubNeckCrankAttempt,SubNeckCrankWin,SubStraightArmLockAttempt,SubStraightArmLockLoss,SubStraightArmLockWin,SubSulovStretchAttempt,SubSulovStretchLoss,SubSulovStretchWin,SubTriangleArmbarAttempt,SubTriangleArmbarLoss,SubTriangleArmbarWin,SubTriangleAttempt,SubTriangleLoss,SubTriangleWin,SubmissionDefenseGrade,SubmissionGrade,SuccessfulThrowTD,ThrowDefends,TimesBodyLocked,TimesDoubleLegged,TimesKnockedDown,TimesSingleLegged,TimesStunned,TimesThrown,TimesTripped,TotalBodyKicksMade,TotalBodyKicksMissed,TotalBodyKicksThrown,TotalClinchStrikesMade,TotalClinchStrikesMissed,TotalClinchStrikesThrown,TotalElbowsMade,TotalElbowsMissed,TotalElbowsThrown,TotalGroundStrikesMade,TotalGroundStrikesMissed,TotalGroundStrikesThrown,TotalHighKicksMade,TotalHighKicksMissed,TotalHighKicksThrown,TotalHooksMade,TotalHooksMissed,TotalHooksThrown,TotalJabsMade,TotalJabsMissed,TotalJabsThrown,TotalKicksLanded,TotalKicksThrown,TotalLegKicksMade,TotalLegKicksMissed,TotalLegKicksThrown,TotalOverhandsMade,TotalOverhandsMissed,TotalOverhandsThrown,TotalPunchesLanded,TotalPunchesThrown,TotalSpinBackFistsMade,TotalSpinBackFistsMissed,TotalSpinBackFistsThrown,TotalStraightsMade,TotalStraightsMissed,TotalStraightsThrown,TotalStrikesLanded,TotalUppercutsMade,TotalUppercutsMissed,TotalUppercutsThrown,TripDefends,TripTakedownAttempts,TripTakedownFail,TripTakedownSuccess,TwisterAttempts,TwisterLosses,TwisterWins,UppercutsAbsorbed,VonFlueAttempt,VonFlueLoss,VonFlueWin,WinsInThe4thRd,WinsInThe5thRd,WinsInTitleFights,_id
0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,73,0,1,0,0,0,10,6,0,0,0,3,7,0,0,0,0,0,0,0,0,0,1,14,0,0,6,18,1,1,1,1,0,1,0,0,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,1,5,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,2,0,0,0,2,1,3,0,0,0,10,6,16,0,2,2,2,20,22,9,20,29,2,5,2,1,3,0,1,1,24,76,0,0,0,1,4,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639903f5840f88a6d67fc324
0,3,0,0,0,0,0,0,0,0,0,0,4,0,5,1,0,0,1,1,0,0,0,0,0,86,0,1,0,0,0,20,7,2,0,0,23,9,0,0,0,2,2,0,1,0,1,14,11,0,2,24,38,3,0,1,0,0,0,0,0,7,6,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,3,10,0,0,0,0,0,0,0,0,0,0,8,4,3,0,0,0,5,6,3,0,1,6,1,3,5,0,0,0,1,1,10,6,0,0,22,9,0,0,5,0,0,0,4,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,6,16,9,1,10,3,1,4,22,7,29,0,1,1,22,19,41,29,47,76,16,23,6,0,6,0,0,0,121,216,1,1,2,17,12,29,149,22,9,31,0,1,0,1,0,0,0,0,0,0,0,0,0,0,639903ed551b1e825782bf64
0,7,0,5,0,5,0,0,0,0,0,0,3,1,0,0,0,1,12,4,8,0,0,0,0,81,15,6,0,0,0,245,38,115,7,1,21,18,0,0,0,9,9,6,0,1,4,7,12,1,0,11,14,0,0,5,1,2,3,0,0,13,5,0,1,0,1,1,0,17,0,0,0,0,0,0,73,0,2,2,0,0,0,0,0,0,0,0,1,6,10,8,25,0,0,11,6,14,1,0,13,24,1,0,2,1,7,2,0,0,2,2,1,0,2,1,0,0,15,0,0,0,1,15,9,6,16,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,0,0,0,19,17,36,3,1,4,31,0,31,360,45,405,1,15,16,15,26,41,25,38,63,27,61,7,2,9,9,5,14,429,549,0,0,0,16,8,24,496,3,2,5,0,3,0,3,0,0,1,4,0,0,0,0,0,0,639904e95a60b24bed8b69cc
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,2,0,0,0,3,0,7,0,0,11,6,0,0,0,0,1,1,0,0,0,3,3,0,1,6,15,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,9,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,1,0,6,4,0,0,2,0,0,13,3,0,3,0,0,3,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,1,3,4,0,0,0,1,0,1,10,0,10,1,1,2,7,10,17,7,18,25,15,22,13,3,16,0,3,3,28,67,0,0,0,3,7,10,47,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,639906514b05b00cf9207864
0,14,0,1,0,1,0,0,0,0,0,0,14,3,1,0,0,0,4,1,3,0,0,0,0,86,20,5,0,0,0,33,14,4,1,5,15,14,0,0,0,0,0,0,0,0,0,20,15,11,6,13,29,5,10,2,1,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,43,0,3,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,11,19,4,1,0,0,0,1,5,0,9,14,0,0,3,9,0,0,3,6,0,0,9,2,0,0,10,5,3,2,10,1,0,1,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,15,3,18,0,0,0,37,15,52,0,0,0,46,41,87,18,40,58,7,9,7,1,8,9,14,23,122,247,0,0,0,3,9,12,141,3,7,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6399067bde3d7378545b0038
0,46,0,8,2,6,0,0,0,0,0,0,12,11,3,0,0,5,8,4,4,0,0,0,0,83,17,13,0,0,0,322,193,67,25,3,99,100,0,0,0,2,0,0,0,0,1,46,102,7,1,40,113,1,0,0,0,0,1,0,0,0,1,0,0,0,4,2,0,25,0,0,0,0,3,1,162,0,4,9,0,0,0,0,0,0,2,0,0,2,7,3,0,0,1,9,35,65,7,3,0,0,0,0,9,1,11,20,0,0,31,56,6,8,13,12,0,0,35,4,1,3,10,40,31,9,57,4,0,1,15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,4,15,0,3,9,3,12,15,11,26,0,0,0,389,218,607,1,10,11,95,171,266,40,113,153,19,33,9,1,10,11,21,32,358,811,0,0,0,37,65,102,633,15,16,31,0,0,0,0,0,0,0,37,0,0,0,0,2,1,6399066a9176130a0f3312cb
0,1,1,0,0,0,0,0,0,0,0,0,3,0,2,1,0,1,0,0,0,0,0,0,0,73,0,4,0,0,0,20,11,5,0,5,21,2,0,0,0,0,0,0,0,0,1,7,13,0,0,3,39,0,0,2,2,0,3,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,2,7,7,2,1,1,3,4,21,0,1,1,2,0,0,3,2,0,6,1,1,6,14,1,1,0,0,0,0,5,0,2,0,7,1,0,1,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,7,7,14,5,1,6,2,1,3,25,11,36,1,4,5,11,35,46,4,41,45,13,28,5,4,9,0,9,9,28,131,1,1,2,7,16,23,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6399068376595b46523bd6cd
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,79,5,1,0,0,0,34,16,3,0,1,12,7,0,0,0,0,0,2,0,0,0,0,3,0,0,6,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,1,3,4,6,0,0,1,0,0,0,1,1,0,3,0,1,0,2,1,0,0,0,0,0,3,1,0,1,0,5,3,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,3,0,3,37,16,53,1,3,4,4,9,13,7,35,42,5,11,1,2,3,0,3,3,49,114,0,1,1,1,2,3,66,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,63990673383656eb4c8d642e
0,12,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,1,0,0,0,0,0,0,0,86,0,1,0,0,0,20,4,6,2,2,23,32,0,0,0,5,3,0,0,6,9,3,4,0,0,23,30,4,0,12,8,1,0,0,0,7,9,4,1,1,0,0,0,8,0,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,3,7,0,0,0,3,0,0,9,5,0,2,0,0,5,4,1,0,0,0,1,0,5,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,3,9,19,0,19,1,0,1,26,6,32,6,10,16,6,11,17,27,33,60,33,59,21,13,34,1,2,3,98,164,0,0,0,17,14,31,133,2,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6399068bb344242b312d9a65
0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,78,0,1,0,0,0,2,2,1,2,5,15,9,0,0,0,6,11,0,0,1,7,3,10,0,1,10,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,0,0,10,13,0,0,0,0,0,0,5,0,2,3,0,0,1,2,0,0,0,0,0,0,3,0,0,0,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,14,27,1,0,1,0,0,0,3,4,7,1,7,8,13,24,37,10,17,27,20,41,6,0,6,2,3,5,30,80,0,0,0,1,2,3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639904e2e671588e217555e9
